iter	Passed	Remaining
259	7574	6992
260	7632	6988
261	7714	7008
262	7771	7003
263	7798	6971
264	7819	6933
265	7844	6900
266	7872	6870
267	7900	6839
268	7923	6804
269	7947	6770
270	7972	6736
271	8000	6705
272	8038	6683
273	8062	6649
274	8085	6615
275	8111	6583
276	8132	6546
277	8156	6513
278	8181	6480
279	8207	6448
280	8233	6417
281	8254	6381
282	8279	6348
283	8301	6313
284	8320	6277
285	8345	6244
286	8368	6211
287	8392	6177
288	8417	6145
289	8445	6115
290	8484	6093
291	8514	6064
292	8547	6038
293	8582	6013
294	8611	5983
295	8636	5952
296	8660	5919
297	8684	5886
298	8708	5854
299	8736	5824
300	8761	5792
301	8784	5759
302	8808	5727
303	8829	5692
304	8853	5660
305	8881	5630
306	8915	5604
307	8948	5578
308	8990	5557
309	9019	5528
310	9060	5506
311	9086	5475
312	9113	5444
313	9138	5413
314	9163	5381
315	9193	5353
316	9223	5324
317	9248	5293
318	9283	5267
319	9319	5242
320	9345	5211
321	9369	5179
322	9395	5148
323	9422	5118
324	9448	5087
325	9481	5060
326	9514	5033
327	9545	5005
328	9579	4978
329	9616	4953
330	9646	4925
331	9683	4900
332	9739	4884
333	9804	4872
334	9870	4861
335	9927	4845
336	9988	4831
337	10025	4805
338	10109	4801
339	10172	4787
340	10255	4781
341	10313	4764
342	10345	4735
343	10375	4705
344	10406	4675
345	10434	4644
346	10471	4617
347	10513	4592
348	10546	4563
349	10578	4533
350	10611	4504
351	10640	4474
352	10682	4448
353	10735	4427
354	10775	4401
355	10805	4370
356	10832	4339
357	10861	4308
358	10887	4276
359	10910	4242
360	10938	4211
361	10973	4183
362	11005	4153
363	11039	4124
364	11077	4097
365	11126	4073
366	11159	4044
367	11212	4021
368	11257	3996
369	11310	3973
370	11375	3955
371	11433	3934
372	11509	3918
373	11571	3898
374	11614	3871
375	11647	3841
376	11687	3813
377	11723	3783
378	11751	3751
379	11779	3719
380	11808	3688
381	11836	3656
382	11861	3623
383	11897	3593
384	11929	3563
385	11972	3535
386	12018	3509
387	12058	3480
388	12098	3452
389	12161	3430
390	12201	3401
391	12241	3372
392	12279	3343
393	12318	3314
394	12361	3285
395	12397	3255
396	12433	3225
397	12474	3197
398	12511	3167
399	12548	3137
400	12594	3109
401	12641	3081
402	12679	3051
403	12724	3023
404	12770	2995
405	12812	2966
406	12851	2936
407	12878	2904
408	12913	2873
409	12946	2841
410	12975	2809
411	13002	2777
412	13029	2744
413	13056	2712
414	13092	2681
415	13124	2650
416	13186	2624
417	13238	2597
418	13272	2565
419	13303	2534
420	13338	2502
421	13374	2472
422	13405	2440
423	13438	2408
424	13470	2377
425	13510	2346
426	13543	2315
427	13574	2283
428	13605	2251
429	13645	2221
430	13683	2190
431	13717	2159
432	13744	2126
433	13774	2094
434	13799	2061
435	13826	2029
436	13857	1997
437	13892	1966
438	13927	1935
439	13968	1904
440	14010	1874
441	14041	1842
442	14070	1810
443	14096	1777
444	14123	1745
445	14151	1713
446	14207	1684
447	14242	1653
448	14277	1621
449	14305	1589
450	14332	1557
451	14359	1524
452	14387	1492
453	14413	1460
454	14446	1428
455	14477	1396
456	14507	1365
457	14535	1332
458	14564	1300
459	14594	1269
460	14621	1236
461	14653	1205
462	14689	1173
463	14726	1142
464	14759	1110
465	14788	1079
466	14814	1046
467	14851	1015
468	14881	983
469	14910	951
470	14941	919
471	14967	887
472	14995	855
473	15020	823
474	15043	791
475	15073	760
476	15097	727
477	15126	696
478	15162	664
479	15219	634
480	15277	603
481	15311	571
482	15339	539
483	15365	507
484	15391	476
485	15417	444
486	15447	412
487	15484	380
488	15515	349
489	15545	317
490	15574	285
491	15602	253
492	15629	221
493	15656	190
494	15685	158
495	15721	126
496	15754	95
497	15787	63
498	15824	31
499	15863	0
