iter	Logloss	Accuracy	Recall	F1
328	0.615658533	0.7	0.8069381599	0.7328767123
329	0.6155189717	0.7	0.8069381599	0.7328767123
330	0.6153758055	0.7015384615	0.8069381599	0.7338820302
331	0.6152632871	0.7007692308	0.8054298643	0.7330130405
332	0.6150861079	0.7007692308	0.8054298643	0.7330130405
333	0.6149656053	0.7007692308	0.8069381599	0.7333790267
334	0.6148384271	0.7007692308	0.8069381599	0.7333790267
335	0.6147248227	0.7007692308	0.8069381599	0.7333790267
336	0.6146449416	0.7015384615	0.8069381599	0.7338820302
337	0.6144756439	0.7015384615	0.8069381599	0.7338820302
338	0.6142465693	0.7007692308	0.8069381599	0.7333790267
339	0.614127192	0.7007692308	0.8069381599	0.7333790267
340	0.6140095011	0.7015384615	0.8054298643	0.7335164835
341	0.6139082927	0.7007692308	0.8054298643	0.7330130405
342	0.6137569547	0.7030769231	0.8069381599	0.7348901099
343	0.6136440896	0.7030769231	0.8069381599	0.7348901099
344	0.6135167253	0.7030769231	0.8069381599	0.7348901099
345	0.6133908299	0.7030769231	0.8069381599	0.7348901099
346	0.6133186687	0.7030769231	0.8069381599	0.7348901099
347	0.6132103182	0.7015384615	0.8039215686	0.7331499312
348	0.6130695835	0.7015384615	0.8039215686	0.7331499312
349	0.6128271272	0.7015384615	0.8039215686	0.7331499312
350	0.612734635	0.7015384615	0.8039215686	0.7331499312
351	0.6125964062	0.7015384615	0.8039215686	0.7331499312
352	0.612414845	0.7023076923	0.8054298643	0.7340206186
353	0.612334053	0.7015384615	0.8039215686	0.7331499312
354	0.6121998315	0.7007692308	0.802413273	0.7322780454
355	0.6120551128	0.7007692308	0.802413273	0.7322780454
356	0.6119795425	0.7023076923	0.8039215686	0.7336545079
357	0.6119081287	0.7015384615	0.802413273	0.7327823691
358	0.611809166	0.7030769231	0.8054298643	0.734525447
359	0.6117372857	0.7023076923	0.8039215686	0.7336545079
360	0.6116677492	0.7023076923	0.8039215686	0.7336545079
361	0.6115349037	0.7023076923	0.8039215686	0.7336545079
362	0.6114158233	0.7023076923	0.8039215686	0.7336545079
363	0.6112863631	0.7023076923	0.8039215686	0.7336545079
364	0.6112062974	0.7015384615	0.802413273	0.7327823691
365	0.6110972693	0.7023076923	0.8039215686	0.7336545079
366	0.6109902348	0.7015384615	0.802413273	0.7327823691
367	0.6108828013	0.7015384615	0.802413273	0.7327823691
368	0.6108228962	0.7015384615	0.802413273	0.7327823691
369	0.6106889211	0.7015384615	0.802413273	0.7327823691
370	0.6106068763	0.7023076923	0.8039215686	0.7336545079
371	0.6105282106	0.7023076923	0.8039215686	0.7336545079
372	0.6104214817	0.7023076923	0.8039215686	0.7336545079
373	0.6103089802	0.7015384615	0.802413273	0.7327823691
374	0.6102264002	0.7015384615	0.802413273	0.7327823691
375	0.6101286346	0.7015384615	0.802413273	0.7327823691
376	0.6100572319	0.7015384615	0.802413273	0.7327823691
377	0.6099617285	0.7030769231	0.8054298643	0.734525447
378	0.6098194128	0.7015384615	0.802413273	0.7327823691
379	0.6096243042	0.7023076923	0.8039215686	0.7336545079
380	0.6095160351	0.7023076923	0.8039215686	0.7336545079
381	0.6094265118	0.7023076923	0.8039215686	0.7336545079
382	0.6092883565	0.7030769231	0.8054298643	0.734525447
383	0.6091784165	0.7023076923	0.8039215686	0.7336545079
384	0.6090473578	0.7038461538	0.8054298643	0.7350309704
385	0.6089326385	0.7038461538	0.8054298643	0.7350309704
386	0.6087975538	0.7038461538	0.8054298643	0.7350309704
387	0.6086837809	0.7038461538	0.8054298643	0.7350309704
388	0.60855639	0.7046153846	0.8054298643	0.7355371901
389	0.6084550014	0.7030769231	0.8039215686	0.7341597796
390	0.608328224	0.7038461538	0.8054298643	0.7350309704
391	0.6082254158	0.7038461538	0.8054298643	0.7350309704
392	0.6081322545	0.7038461538	0.8054298643	0.7350309704
393	0.6080320959	0.7038461538	0.8054298643	0.7350309704
394	0.6079453314	0.7038461538	0.8054298643	0.7350309704
395	0.6078415036	0.7053846154	0.8069381599	0.7364074329
396	0.6076827173	0.7053846154	0.8069381599	0.7364074329
397	0.6075593869	0.7061538462	0.8069381599	0.7369146006
398	0.6073648373	0.7046153846	0.8054298643	0.7355371901
399	0.6072135947	0.7053846154	0.8069381599	0.7364074329
400	0.6070784339	0.7053846154	0.8069381599	0.7364074329
401	0.6069919699	0.7038461538	0.8039215686	0.7346657478
402	0.6068860128	0.7038461538	0.8039215686	0.7346657478
403	0.6067683691	0.7038461538	0.8039215686	0.7346657478
404	0.6066876893	0.7038461538	0.8039215686	0.7346657478
405	0.6065367114	0.7046153846	0.8054298643	0.7355371901
406	0.606441578	0.7046153846	0.8054298643	0.7355371901
407	0.6063536411	0.7046153846	0.8054298643	0.7355371901
408	0.6062312869	0.7046153846	0.8054298643	0.7355371901
409	0.6060781551	0.7046153846	0.8054298643	0.7355371901
410	0.6060017322	0.7046153846	0.8054298643	0.7355371901
411	0.6059075573	0.7046153846	0.8054298643	0.7355371901
412	0.6058346893	0.7046153846	0.8054298643	0.7355371901
413	0.6057133915	0.7053846154	0.8054298643	0.7360441075
414	0.605553322	0.7053846154	0.8054298643	0.7360441075
415	0.6054323174	0.7053846154	0.8054298643	0.7360441075
416	0.6053478263	0.7053846154	0.8054298643	0.7360441075
417	0.6051914862	0.7053846154	0.8054298643	0.7360441075
418	0.6050973606	0.7053846154	0.8054298643	0.7360441075
419	0.6050152573	0.7053846154	0.8054298643	0.7360441075
420	0.604938291	0.7053846154	0.8054298643	0.7360441075
421	0.6048676747	0.7053846154	0.8054298643	0.7360441075
422	0.6047822549	0.7053846154	0.8054298643	0.7360441075
423	0.6046443894	0.7046153846	0.8039215686	0.7351724138
424	0.6044873104	0.7038461538	0.802413273	0.7342995169
425	0.6044169935	0.7038461538	0.802413273	0.7342995169
426	0.6043103376	0.7046153846	0.8039215686	0.7351724138
427	0.6042260727	0.7038461538	0.802413273	0.7342995169
428	0.6041477612	0.7038461538	0.802413273	0.7342995169
429	0.6039865421	0.7046153846	0.8039215686	0.7351724138
430	0.6038393155	0.7046153846	0.8039215686	0.7351724138
431	0.6037464448	0.7046153846	0.8039215686	0.7351724138
432	0.603651785	0.7038461538	0.802413273	0.7342995169
433	0.6035730278	0.7038461538	0.802413273	0.7342995169
434	0.6034886084	0.7038461538	0.802413273	0.7342995169
435	0.6033762468	0.7046153846	0.802413273	0.7348066298
436	0.6032887615	0.7046153846	0.8039215686	0.7351724138
437	0.6031863777	0.7053846154	0.8039215686	0.7356797792
438	0.6030730783	0.7053846154	0.802413273	0.7353144437
439	0.6029528035	0.7053846154	0.802413273	0.7353144437
440	0.6028262984	0.7053846154	0.802413273	0.7353144437
441	0.6027454944	0.7053846154	0.8039215686	0.7356797792
442	0.6026730939	0.7046153846	0.802413273	0.7348066298
443	0.6025558603	0.7046153846	0.802413273	0.7348066298
444	0.6024109836	0.7061538462	0.8039215686	0.7361878453
445	0.6023590448	0.7061538462	0.8039215686	0.7361878453
446	0.602188061	0.7061538462	0.8039215686	0.7361878453
447	0.6021169471	0.7069230769	0.8039215686	0.7366966137
448	0.6020447641	0.7061538462	0.8039215686	0.7361878453
449	0.6019598812	0.7061538462	0.8039215686	0.7361878453
450	0.60184038	0.7061538462	0.8039215686	0.7361878453
451	0.6016945062	0.7053846154	0.8039215686	0.7356797792
452	0.6015776129	0.7061538462	0.8039215686	0.7361878453
453	0.6014128746	0.7053846154	0.8039215686	0.7356797792
454	0.60129683	0.7053846154	0.8039215686	0.7356797792
455	0.6012047426	0.7053846154	0.8039215686	0.7356797792
456	0.6010656514	0.7053846154	0.8039215686	0.7356797792
457	0.6009929794	0.7053846154	0.8039215686	0.7356797792
458	0.600905405	0.7053846154	0.8039215686	0.7356797792
459	0.6008397634	0.7053846154	0.8039215686	0.7356797792
460	0.6007605627	0.7061538462	0.8039215686	0.7361878453
461	0.6006315468	0.7061538462	0.8039215686	0.7361878453
462	0.6005437745	0.7061538462	0.8039215686	0.7361878453
463	0.6003769461	0.7061538462	0.8039215686	0.7361878453
464	0.6002653678	0.7061538462	0.8039215686	0.7361878453
465	0.6001419058	0.7061538462	0.8039215686	0.7361878453
466	0.6000433897	0.7061538462	0.8039215686	0.7361878453
467	0.5999303236	0.7061538462	0.8039215686	0.7361878453
468	0.5998321581	0.7061538462	0.8039215686	0.7361878453
469	0.5997064362	0.7053846154	0.8039215686	0.7356797792
470	0.599600884	0.7061538462	0.8039215686	0.7361878453
471	0.5994935098	0.7061538462	0.8039215686	0.7361878453
