ユーザID,学校種別(使用）,文理（使用）,アルバイト経験有無,アルバイト経験先,アルバイト店番,アルバイト店名,アルバイト社員番号,アルバイト開始年月,アルバイト期間,[SPI3U]言語(得点),[SPI3U]言語(段階),[SPI3U]非言語(得点),[SPI3U]非言語(段階),[SPI3U]基礎能力総合(得点),[SPI3U]基礎能力総合(段階),[SPI3U]Ａ対人接触,[SPI3U]Ｂ対人折衝,[SPI3U]Ｃ集団統率,[SPI3U]Ｄ協調協力,[SPI3U]Ｅサポート,[SPI3U]Ｆフットワーク,[SPI3U]Ｇスピーディー,[SPI3U]Ｈ予定外対応,[SPI3U]Ｉ自律遂行,[SPI3U]Ｊプレッシャー,[SPI3U]Ｋ着実持続,[SPI3U]Ｌ前例ない課題,[SPI3U]Ｍ企画アイデア,[SPI3U]Ｎ問題分析,[SPI3U]ダミー(1),[SPI3U]ダミー(2),[SPI3U]Ｗ創造重視,[SPI3U]Ｘ結果重視,[SPI3U]Ｙ調和重視,[SPI3U]Ｚ秩序重視,[SPI3U]応答態度Ａ,[SPI3U]ダミー,[SPI3Uフル]マネジメントスタイル座標,[SPI3U]内向-外向2,[SPI3U]調整-統率,[SPI3U]繊細-強靭,[SPI3U]維持‐変革,[SPI3U]活動系,[SPI3U]新卒R社員性格基準,final
16032784,大学,文系,勤務経験なし,,,,,,,30,2,74,7,"52,5",4,3,2,3,2,3,3,2,2,3,3,3,3,4,3,5,3,3,2,3,3,1,1,Y2,3,3,"2,5","2,5","2,5","2,8",0
16032796,,,勤務経験なし,,,,,,,38,3,39,3,37,2,4,5,5,1,2,3,4,4,5,5,3,5,3,2,6,4,5,4,1,2,1,1,W2,4,5,5,"4,5","3,5",3,0
16032802,専門学校,文系,勤務経験なし,,,,,,,41,3,33,2,"35,5",2,3,3,2,3,3,3,4,4,3,3,3,5,3,2,6,3,3,2,3,3,1,1,Y2,3,"2,5",3,"4,5","3,5",3,0
16032809,,,勤務経験なし,,,,,,,36,2,39,3,36,2,4,5,5,3,2,4,5,5,5,5,3,5,3,2,6,5,5,5,2,3,1,1,X1,4,5,5,5,"4,5",0,0
16032824,専門学校,文系,現在、勤務しています,B社,459,店名_624,507223,40452,6カ月以上,39,3,40,3,"38,5",3,5,5,5,1,2,5,5,5,5,5,2,5,3,2,6,6,5,5,1,2,1,1,X1,5,5,5,5,5,"3,3",0
16032835,大学,文系,過去に勤務していました,B社,,店名_597,,41730,6カ月以上,41,3,36,2,37,2,3,3,3,2,2,5,3,3,4,3,3,3,2,1,3,2,4,2,2,3,1,1,W4,3,"3,5",3,3,4,"2,8",0
16032836,,,勤務経験なし,,,,,,,20,1,29,1,"21,5",1,1,2,3,1,3,1,1,2,4,3,4,3,1,1,5,3,2,2,3,3,1,1,Z1,1,"3,5","2,5","2,5",1,"2,3",0
16032851,大学,文系,勤務経験なし,,,,,,,64,6,43,3,54,5,2,2,3,1,2,4,4,3,3,3,1,5,4,3,5,2,3,2,1,1,1,1,W2,2,3,"2,5",4,4,2,0
16032857,大学,文系,勤務経験なし,,,,,,,20,1,46,4,31,2,3,3,4,3,3,2,2,2,3,4,4,3,1,1,4,3,4,3,3,4,1,1,W4,3,"3,5","3,5","2,5",2,3,0
16032866,大学,理系,勤務経験なし,,,,,,,75,7,79,7,80,7,4,5,5,3,3,3,3,3,4,4,3,3,4,5,3,4,4,4,3,3,1,1,W4,4,"4,5","4,5",3,3,"3,5",0
16032880,大学,文系,勤務経験なし,,,,,,,30,2,41,3,34,2,3,4,3,3,5,3,4,4,4,3,3,3,1,1,5,3,3,3,5,2,1,1,Y1,3,"3,5","3,5","3,5","3,5","3,8",0
16032881,,,勤務経験なし,,,,,,,71,7,52,4,63,6,4,5,5,4,4,3,3,4,4,4,3,5,5,4,6,4,4,3,4,3,1,1,W4,4,"4,5","4,5","4,5",3,4,0
16032888,大学,文系,勤務経験なし,,,,,,,42,3,61,5,"51,5",4,5,5,5,4,4,5,3,4,5,5,3,4,5,3,6,3,5,3,4,3,1,1,W3,5,5,5,4,4,"4,5",0
16032895,,,勤務経験なし,,,,,,,55,5,50,4,53,4,3,5,5,2,2,5,5,5,5,5,3,5,5,4,6,5,5,5,2,3,1,1,X1,3,5,5,5,5,3,1
16032901,大学,文系,勤務経験なし,,,,,,,53,4,52,4,53,4,3,1,1,5,5,3,2,1,2,1,3,1,3,3,3,4,1,1,5,4,1,1,Y4,3,"1,5",1,1,"2,5","3,8",0
16032903,大学,文系,勤務経験なし,,,,,,,62,6,65,6,65,6,5,5,5,3,3,5,5,5,5,5,4,5,5,5,6,5,5,4,3,4,2,1,W4,5,5,5,5,5,4,0
16032909,大学,文系,勤務経験なし,,,,,,,43,3,32,2,36,2,3,2,3,3,4,2,3,2,2,3,3,3,1,2,2,4,3,3,4,4,1,1,Z1,3,"2,5","2,5","2,5","2,5",3,0
16032920,,,勤務経験なし,,,,,,,31,2,30,2,26,1,5,5,5,3,2,4,4,5,5,5,3,5,2,1,6,4,4,4,3,3,1,1,W4,5,5,5,5,4,0,0
16032924,大学,文系,勤務経験なし,,,,,,,55,5,64,6,"60,5",5,5,4,4,3,3,3,3,5,3,4,2,4,5,5,5,5,4,4,2,3,1,1,X1,5,"3,5",4,"4,5",3,"3,5",0
