"ユーザID","学校種別(使用）","文理（使用）","アルバイト経験有無","アルバイト経験先","アルバイト店番","アルバイト店名","アルバイト社員番号","アルバイト開始年月","アルバイト期間","[SPI3U]言語(得点)","[SPI3U]言語(段階)","[SPI3U]非言語(得点)","[SPI3U]非言語(段階)","[SPI3U]基礎能力総合(得点)","[SPI3U]基礎能力総合(段階)","[SPI3U]Ａ対人接触","[SPI3U]Ｂ対人折衝","[SPI3U]Ｃ集団統率","[SPI3U]Ｄ協調協力","[SPI3U]Ｅサポート","[SPI3U]Ｆフットワーク","[SPI3U]Ｇスピーディー","[SPI3U]Ｈ予定外対応","[SPI3U]Ｉ自律遂行","[SPI3U]Ｊプレッシャー","[SPI3U]Ｋ着実持続","[SPI3U]Ｌ前例ない課題","[SPI3U]Ｍ企画アイデア","[SPI3U]Ｎ問題分析","[SPI3U]ダミー(1)","[SPI3U]ダミー(2)","[SPI3U]Ｗ創造重視","[SPI3U]Ｘ結果重視","[SPI3U]Ｙ調和重視","[SPI3U]Ｚ秩序重視","[SPI3U]応答態度Ａ","[SPI3U]ダミー","[SPI3Uフル]マネジメントスタイル座標","[SPI3U]内向-外向2","[SPI3U]調整-統率","[SPI3U]繊細-強靭","[SPI3U]維持‐変革","[SPI3U]活動系","[SPI3U]新卒R社員性格基準"
17001998,"大学","文系","現在、勤務しています","A社",564,"店名_112",797855,42064,"6カ月以上",41,3,58,5,"49,5",4,5,4,3,4,5,5,5,5,2,4,1,3,3,2,4,2,4,1,4,1,1,1,"W3",5,"2,5",4,4,5,4
17002002,"大学","文系","勤務経験なし",,,,,,,46,4,41,3,"42,5",3,5,5,4,4,4,5,5,5,4,4,3,5,3,3,5,3,4,3,4,2,1,1,"W3",5,4,"4,5",5,5,0
17002028,"大学","文系","勤務経験なし",,,,,,,48,4,46,4,"46,5",4,5,5,5,3,3,5,4,5,5,5,4,5,4,3,6,6,5,5,2,4,2,1,"X1",5,5,5,5,"4,5",4
17002034,"大学","文系","勤務経験なし",,,,,,,53,4,53,4,"53,5",4,4,4,3,4,4,3,3,3,3,3,3,3,4,3,5,2,4,2,5,3,1,1,"Y1",4,3,"3,5",3,3,"3,8"
17002038,"大学","文系","勤務経験なし",,,,,,,64,6,59,5,63,6,4,4,4,3,3,5,4,4,3,4,3,4,5,3,5,2,4,3,3,3,1,1,"W4",4,"3,5",4,4,"4,5","3,3"
17002047,"大学","文系","勤務経験なし",,,,,,,67,6,56,5,63,6,3,3,3,3,4,5,4,4,3,4,5,3,4,3,4,2,3,2,4,4,1,1,"Y4",3,3,"3,5","3,5","4,5","3,3"
17002054,"大学","文系","勤務経験なし",,,,,,,63,6,40,3,"51,5",4,5,5,5,5,5,5,4,4,3,5,4,3,5,3,6,3,5,4,5,3,1,1,"W3",5,4,5,"3,5","4,5","4,5"
17002055,"大学","文系","勤務経験なし",,,,,,,48,4,44,3,"45,5",3,4,5,5,3,2,5,4,4,3,5,4,5,4,2,6,2,5,4,2,3,1,1,"W2",4,4,5,"4,5","4,5",3
17002060,"大学","文系","勤務経験なし",,,,,,,47,4,36,2,"40,5",3,5,4,4,3,3,4,4,4,5,4,4,4,2,2,4,6,4,4,2,4,1,1,"X3",5,"4,5",4,4,4,4
17002074,"専門学校","文系","勤務経験なし",,,,,,,49,4,42,3,45,3,3,3,3,3,5,2,3,3,3,3,3,3,3,3,4,4,3,2,4,3,1,1,"Y2",3,3,3,3,"2,5","3,5"
