"ユーザID","学校種別(使用）","文理（使用）","アルバイト経験有無","アルバイト経験先","アルバイト店番","アルバイト店名","アルバイト社員番号","アルバイト開始年月","アルバイト期間","[SPI3U]言語(得点)","[SPI3U]言語(段階)","[SPI3U]非言語(得点)","[SPI3U]非言語(段階)","[SPI3U]基礎能力総合(得点)","[SPI3U]基礎能力総合(段階)","[SPI3U]Ａ対人接触","[SPI3U]Ｂ対人折衝","[SPI3U]Ｃ集団統率","[SPI3U]Ｄ協調協力","[SPI3U]Ｅサポート","[SPI3U]Ｆフットワーク","[SPI3U]Ｇスピーディー","[SPI3U]Ｈ予定外対応","[SPI3U]Ｉ自律遂行","[SPI3U]Ｊプレッシャー","[SPI3U]Ｋ着実持続","[SPI3U]Ｌ前例ない課題","[SPI3U]Ｍ企画アイデア","[SPI3U]Ｎ問題分析","[SPI3U]ダミー(1)","[SPI3U]ダミー(2)","[SPI3U]Ｗ創造重視","[SPI3U]Ｘ結果重視","[SPI3U]Ｙ調和重視","[SPI3U]Ｚ秩序重視","[SPI3U]応答態度Ａ","[SPI3U]ダミー","[SPI3Uフル]マネジメントスタイル座標","[SPI3U]内向-外向2","[SPI3U]調整-統率","[SPI3U]繊細-強靭","[SPI3U]維持‐変革","[SPI3U]活動系","[SPI3U]新卒R社員性格基準"
17006016,"大学","文系","勤務経験なし",,,,,,,58,5,50,4,"54,5",5,4,4,5,1,2,5,5,4,4,4,3,5,3,3,4,3,4,4,2,3,1,1,"X1",4,"4,5",4,"4,5",5,"2,8"
17006021,"大学","文系","勤務経験なし",,,,,,,69,6,71,7,"72,5",7,3,3,4,3,4,4,3,4,4,3,3,3,4,5,4,5,3,3,4,3,1,1,"Y2",3,4,3,"3,5","3,5","3,5"
17006036,"大学","文系","勤務経験なし",,,,,,,71,7,65,6,70,7,5,5,5,3,2,5,5,5,5,5,1,5,5,5,5,4,4,5,2,2,1,1,"X1",5,5,5,5,5,"3,8"
17006041,"大学","文系","勤務経験なし",,,,,,,55,5,61,5,59,5,4,4,5,3,2,3,3,2,5,5,4,4,5,5,6,5,4,5,2,4,1,1,"X2",4,5,"4,5",3,3,"3,5"
17006045,"大学","理系","勤務経験なし",,,,,,,56,5,46,4,51,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,3,4,1,1,"Z3",3,3,3,"2,5",3,3
17006054,"大学","文系","勤務経験なし",,,,,,,60,5,51,4,56,5,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,2,2,2,3,3,1,1,"Z1",3,3,3,3,"2,5","2,5"
17006080,"大学","文系","現在、勤務しています","B社",1117,"店名_899",598235,41183,"6カ月以上",44,3,52,4,48,4,5,5,3,4,3,5,5,5,2,5,3,3,2,3,2,3,4,2,4,3,1,1,"Y1",5,"2,5",5,4,5,"3,5"
17006083,"大学","文系","勤務経験なし",,,,,,,54,5,68,6,"62,5",6,4,4,5,4,5,3,2,3,3,3,3,3,5,3,5,2,4,3,5,3,1,1,"Y1",4,4,"3,5",3,"2,5",4
17006110,"大学","文系","勤務経験なし",,,,,,,58,5,44,3,51,4,5,5,4,3,4,5,3,5,4,4,3,4,3,3,4,3,4,3,3,2,1,1,"W4",5,4,"4,5","4,5",4,4
17006138,"大学","文系","勤務経験なし",,,,,,,65,6,60,5,64,6,5,5,5,2,2,5,5,5,5,5,2,5,5,5,6,5,5,5,2,1,1,1,"W2",5,5,5,5,5,"3,5"
17006141,"大学","文系","勤務経験なし",,,,,,,65,6,50,4,"58,5",5,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,1,1,3,3,1,1,"Z3",2,"2,5",2,"2,5",2,"2,3"
17006145,"大学","理系","勤務経験なし",,,,,,,59,5,66,6,64,6,3,3,4,3,3,4,5,5,3,4,2,4,5,4,5,3,3,2,3,1,1,1,"W3",3,"3,5","3,5","4,5","4,5",3
17006152,"大学","文系","勤務経験なし",,,,,,,59,5,55,5,58,5,4,3,3,3,3,3,4,3,3,3,3,3,4,4,4,3,4,3,3,3,1,1,"W4",4,3,3,3,"3,5","3,3"
17006161,"大学","理系","現在、勤務しています","A社",486,"店名_900",674297,41548,"6カ月以上",52,4,48,4,50,4,3,2,3,1,2,2,3,2,3,3,1,1,2,3,1,1,3,1,2,1,1,1,"W3",3,3,"2,5","1,5","2,5","2,3"
17006166,"大学院（修士）","文系","現在、勤務しています","B社",1437,"店名_901",829847,42186,"6カ月以上",58,5,59,5,"59,5",5,4,3,3,3,4,3,3,3,4,3,3,3,4,5,4,5,3,3,4,3,1,1,"Y2",4,"3,5",3,3,3,"3,8"
17006177,"大学","文系","勤務経験なし",,,,,,,56,5,62,6,60,5,5,5,5,5,4,4,3,3,3,4,4,3,5,4,6,4,4,4,5,4,1,1,"Y2",5,4,"4,5",3,"3,5","4,3"
17006178,"大学","文系","勤務経験なし",,,,,,,54,5,55,5,55,5,3,4,5,2,2,3,5,4,3,4,2,2,2,4,1,5,2,4,2,3,1,1,"X4",3,4,4,3,4,"2,5"
17006188,"大学","文系","勤務経験なし",,,,,,,38,3,44,3,40,3,3,3,4,3,3,3,4,4,3,3,2,3,1,2,2,3,3,3,3,2,1,1,"W4",3,"3,5",3,"3,5","3,5",3
17006192,"大学","文系","勤務経験なし",,,,,,,54,5,53,4,54,5,3,3,5,3,3,3,4,3,4,4,3,3,3,3,4,3,4,3,3,3,1,1,"W4",3,"4,5","3,5",3,"3,5","3,3"
17006217,"大学","文系","現在、勤務しています","B社",1329,"店名_902",635215,41365,"6カ月以上",41,3,55,5,48,4,5,5,4,4,4,5,4,5,4,4,3,3,3,3,5,4,5,3,4,3,1,1,"W3",5,4,"4,5",4,"4,5","4,3"
17006219,"大学","文系","勤務経験なし",,,,,,,33,2,30,2,28,1,4,5,5,2,2,5,5,5,3,5,1,5,1,1,4,2,4,3,1,1,1,1,"W2",4,4,5,5,5,0
17006235,"大学","文系","勤務経験なし",,,,,,,49,4,59,5,"54,5",5,5,4,5,3,2,3,3,3,5,5,4,3,4,4,5,6,4,5,2,5,1,1,"X4",5,5,"4,5",3,3,"3,8"
17006238,"大学","文系","勤務経験なし",,,,,,,60,5,56,5,59,5,3,3,3,3,3,3,2,2,3,3,4,3,4,4,4,3,3,2,4,4,1,1,"Y4",3,3,3,"2,5","2,5",3
17006240,"大学","文系","勤務経験なし",,,,,,,58,5,65,6,63,6,2,3,4,2,3,3,2,3,4,3,3,5,5,5,6,5,4,4,3,3,1,1,"X3",2,4,3,4,"2,5","2,8"
17006254,"大学","文系","勤務経験なし",,,,,,,59,5,52,4,56,5,4,4,5,1,2,3,1,1,5,3,3,3,4,3,5,4,4,4,2,4,1,1,"X3",4,5,"3,5",2,2,3
17006293,"大学","理系","勤務経験なし",,,,,,,57,5,58,5,"58,5",5,2,2,2,4,4,3,3,4,3,3,2,3,3,4,3,4,2,2,5,3,1,1,"Y4",2,"2,5","2,5","3,5",3,"3,3"
17006326,"大学","文系","勤務経験なし",,,,,,,69,6,59,5,"65,5",6,5,5,5,3,2,5,5,5,5,5,2,5,5,4,5,2,5,3,2,2,1,1,"W2",5,5,5,5,5,"3,8"
17006331,"大学","文系","勤務経験なし",,,,,,,64,6,47,4,56,5,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,5,3,4,4,3,1,1,"Y2",3,"3,5",3,3,3,"3,3"
17006343,"大学","文系","現在、勤務しています","B社",889,"店名_903",662631,41518,"6カ月以上",46,4,42,3,"43,5",3,3,4,5,2,2,3,3,3,5,5,3,4,3,3,5,5,3,5,2,3,1,1,"X2",3,5,"4,5","3,5",3,3
17006366,"大学","文系","勤務経験なし",,,,,,,64,6,59,5,63,6,3,3,2,5,5,3,4,3,3,3,4,3,5,5,5,5,3,3,4,4,1,1,"Z1",3,"2,5",3,3,"3,5",4
17006378,"大学","文系","勤務経験なし",,,,,,,72,7,73,7,"75,5",7,5,5,5,5,4,3,3,3,4,4,2,3,5,5,5,6,4,5,4,3,1,1,"X3",5,"4,5","4,5",3,3,"4,5"
17006387,"大学","文系","勤務経験なし","B社",,,,,,58,5,58,5,59,5,2,3,3,3,4,3,4,3,4,4,1,3,4,4,4,4,3,4,3,2,1,1,"X3",2,"3,5","3,5",3,"3,5","3,3"
17006388,"大学","文系","勤務経験なし",,,,,,,52,4,39,3,45,3,4,4,4,3,3,5,5,5,3,5,1,3,3,3,4,3,4,2,3,1,1,1,"W3",4,"3,5","4,5",4,5,"3,3"
17006391,"大学","文系","現在、勤務しています","B社",1513,"店名_904",677810,41548,"6カ月以上",44,3,39,3,"40,5",3,3,3,3,3,4,3,3,2,4,3,4,3,2,2,5,4,3,3,5,4,1,1,"Y4",3,"3,5",3,"2,5",3,"3,5"
17006393,"大学","文系","勤務経験なし",,,,,,,75,7,72,7,"76,5",7,4,5,4,2,2,4,3,4,4,4,3,4,5,5,5,4,4,4,2,3,1,1,"X1",4,4,"4,5",4,"3,5",3
17006395,"大学","文系","勤務経験なし",,,,,,,67,6,51,4,60,5,3,2,2,4,5,3,3,2,3,2,4,3,4,4,4,3,2,2,5,4,1,1,"Y4",3,"2,5",2,"2,5",3,"3,8"
17006398,"大学","文系","勤務経験なし",,,,,,,67,6,56,5,63,6,4,5,5,4,3,3,3,3,3,4,3,4,5,4,5,4,4,4,4,3,1,1,"W4",4,4,"4,5","3,5",3,"3,5"
17006403,"大学","文系","勤務経験なし",,,,,,,76,7,48,4,"63,5",6,3,3,3,4,3,3,2,3,2,2,3,5,5,5,6,5,3,4,3,3,1,1,"X3",3,"2,5","2,5",4,"2,5",3
17006421,"大学","理系","現在、勤務しています","B社",1423,"店名_905",728931,41760,"6カ月以上",57,5,63,6,"61,5",5,3,4,5,2,2,4,5,4,5,4,3,5,5,5,6,6,4,4,2,3,1,1,"X1",3,5,4,"4,5","4,5",3
17006427,"大学","文系","勤務経験なし",,,,,,,42,3,48,4,"44,5",3,5,5,4,4,4,4,4,5,5,5,4,5,3,3,5,5,4,4,3,4,1,1,"X3",5,"4,5",5,5,4,"4,5"
17006436,"大学","文系","勤務経験なし",,,,,,,61,5,47,4,"54,5",5,4,5,5,2,3,4,5,4,4,5,3,5,4,4,5,5,4,5,2,3,1,1,"X1",4,"4,5",5,"4,5","4,5","3,3"
17006469,"大学","文系","現在、勤務しています","B社",469,"店名_906",651299,41456,"6カ月以上",63,6,52,4,"58,5",5,5,5,5,3,3,5,4,5,4,5,4,4,5,5,5,5,5,5,3,4,1,1,"X1",5,"4,5",5,"4,5","4,5","3,8"
17006484,"大学","文系","勤務経験なし",,,,,,,58,5,66,6,"63,5",6,2,2,3,3,3,1,2,2,3,3,3,3,3,3,3,2,3,2,3,3,1,1,"Y2",2,3,"2,5","2,5","1,5","2,8"
17006485,"大学","文系","現在、勤務しています","B社",1452,"店名_907",702115,41671,"6カ月以上",37,2,35,2,"34,5",2,4,3,4,4,4,3,4,4,4,4,3,5,1,1,5,6,4,4,4,4,1,1,"X3",4,4,"3,5","4,5","3,5",4
17006486,"大学","文系","勤務経験なし",,,,,,,66,6,46,4,57,5,3,4,3,3,3,3,3,4,3,3,4,4,4,3,5,3,3,3,3,3,1,1,"Z1",3,3,"3,5",4,3,3
17006497,"大学","文系","勤務経験なし",,,,,,,49,4,64,6,"57,5",5,3,3,3,2,3,4,5,4,3,2,2,4,5,4,5,4,2,2,2,2,1,1,"Y2",3,3,"2,5",4,"4,5","2,8"
17006499,"大学","文系","現在、勤務しています","B社",1262,"店名_286",776742,41944,"6カ月以上",57,5,49,4,"53,5",4,5,4,3,5,5,5,5,5,2,4,1,1,2,3,1,2,4,2,4,1,1,1,"W3",5,"2,5",4,3,5,"4,3"
17006500,"大学","文系","勤務経験なし",,,,,,,54,5,57,5,56,5,4,4,3,4,4,3,2,3,3,3,3,3,3,4,4,5,2,3,5,4,1,1,"Y4",4,3,"3,5",3,"2,5","3,8"
17006511,"大学","文系","勤務経験なし",,,,,,,68,6,71,7,72,7,3,4,4,3,3,3,3,3,3,4,3,4,4,5,4,4,3,4,3,3,1,1,"X3",3,"3,5",4,"3,5",3,3
17006513,"大学","文系","勤務経験なし",,,,,,,77,7,64,6,73,7,4,4,5,2,2,4,3,3,5,5,3,5,5,5,6,6,5,5,2,4,1,1,"X1",4,5,"4,5",4,"3,5","3,3"
17006516,"大学","文系","勤務経験なし",,,,,,,61,5,70,7,"67,5",6,5,5,5,1,2,5,5,5,5,5,3,5,5,5,5,6,5,5,1,3,1,1,"X1",5,5,5,5,5,"3,3"
17006526,"大学","文系","勤務経験なし",,,,,,,59,5,48,4,54,5,4,4,3,5,5,4,4,4,2,3,3,3,3,3,4,2,4,3,5,2,1,1,"Y1",4,"2,5","3,5","3,5",4,4
17006531,"大学","文系","勤務経験なし",,,,,,,52,4,52,4,"52,5",4,4,5,4,3,3,5,3,5,4,5,2,4,3,3,4,2,4,3,3,2,1,1,"W4",4,4,5,"4,5",4,"3,5"
17006535,"大学","文系","勤務経験なし",,,,,,,63,6,53,4,59,5,4,5,4,3,2,4,4,4,5,5,3,5,5,5,6,5,4,4,3,2,1,1,"W2",4,"4,5",5,"4,5",4,"3,5"
17006564,"大学院（修士）","文系","現在、勤務しています","B社",947,"店名_796",9947010,41456,"6カ月以上",34,2,36,2,33,2,3,4,4,2,2,3,4,3,5,5,5,5,2,1,6,5,3,4,2,4,1,1,"X4",3,"4,5","4,5",4,"3,5",3
17006565,"大学","理系","勤務経験なし",,,,,,,47,4,72,7,"60,5",5,4,4,4,4,4,4,3,4,3,3,3,5,5,5,6,6,4,3,4,3,1,1,"W4",4,"3,5","3,5","4,5","3,5","3,8"
17006567,"大学院（修士）","文系","勤務経験なし",,,,,,,74,7,62,6,70,7,4,5,5,3,4,4,3,3,5,4,4,5,5,5,5,5,4,5,3,4,1,1,"X3",4,5,"4,5",4,"3,5",4
17006573,"大学院（修士）","文系","勤務経験なし",,,,,,,75,7,59,5,69,6,5,5,4,2,2,5,5,5,4,5,1,5,5,4,6,2,4,4,2,1,1,1,"W2",5,4,5,5,5,"3,3"
17006583,"大学","理系","勤務経験なし",,,,,,,69,6,63,6,68,6,4,4,5,2,2,3,3,3,5,4,3,5,5,5,6,6,4,5,2,4,1,1,"X2",4,5,4,4,3,"3,3"
17006587,"大学","文系","現在、勤務しています","B社",399,"店名_908",723379,41760,"6カ月以上",64,6,68,6,68,6,4,5,5,3,4,3,3,3,5,5,2,5,5,5,5,4,4,5,2,2,1,1,"X1",4,5,5,4,3,4
17006594,"大学","理系","現在、勤務しています","B社",1525,"店名_035",759845,41883,"6カ月以上",61,5,66,6,65,6,4,4,5,1,1,4,5,4,5,4,3,5,5,5,6,6,4,4,1,2,1,1,"X1",4,5,4,"4,5","4,5","2,8"
17006637,"大学","文系","勤務経験なし",,,,,,,45,3,57,5,51,4,3,3,4,3,3,4,4,4,3,4,2,4,4,3,5,2,4,3,3,2,1,1,"W4",3,"3,5","3,5",4,4,3
17006638,"大学","文系","勤務経験なし",,,,,,,61,5,45,3,53,4,3,3,3,2,2,3,2,3,3,4,3,3,3,3,2,1,3,2,2,3,1,1,"W4",3,3,"3,5",3,"2,5",0
17006669,"大学","文系","現在、勤務しています","B社",509,"店名_909",819204,42125,"6カ月以上",46,4,59,5,53,4,4,5,5,3,2,5,5,5,4,4,2,5,4,3,5,3,4,4,2,2,1,1,"W2",4,"4,5","4,5",5,5,"3,3"
17006675,"大学","文系","勤務経験なし",,,,,,,64,6,63,6,65,6,3,4,4,5,5,3,3,3,3,3,5,3,5,5,5,5,3,4,5,5,1,1,"Z3",3,"3,5","3,5",3,3,4
17006685,"大学","文系","過去に勤務していました","B社",1306,"店名_855",,42095,"6カ月未満",52,4,55,5,54,5,3,3,2,4,5,3,2,2,3,3,3,3,3,4,4,5,3,2,5,3,1,1,"Y3",3,"2,5",3,"2,5","2,5","3,8"
17006695,"大学","文系","勤務経験なし",,,,,,,45,3,53,4,49,4,5,5,5,5,4,4,3,4,3,4,3,4,4,3,6,5,4,5,4,3,1,1,"X3",5,4,"4,5",4,"3,5","4,3"
17006719,"大学院（修士）","理系","勤務経験なし",,,,,,,69,6,68,6,71,7,5,5,5,3,2,5,4,5,5,5,5,5,5,5,6,5,5,5,2,4,2,1,"X1",5,5,5,5,"4,5","3,8"
17006720,"大学","文系","勤務経験なし",,,,,,,73,7,55,5,"65,5",6,3,4,4,3,2,3,3,3,4,4,2,3,4,4,3,2,4,3,2,2,1,1,"W2",3,4,4,3,3,3
17006726,"大学","文系","勤務経験なし",,,,,,,45,3,53,4,49,4,5,5,5,3,3,5,4,5,5,5,4,5,4,3,6,3,4,3,3,3,1,1,"W4",5,5,5,5,"4,5",4
17006738,"大学","文系","勤務経験なし",,,,,,,51,4,45,3,48,4,3,3,3,3,3,3,2,3,3,3,4,3,3,2,4,2,3,2,3,4,1,1,"Z1",3,3,3,3,"2,5",3
17006755,"大学","文系","勤務経験なし",,,,,,,66,6,61,5,65,6,4,4,3,1,2,5,5,5,5,5,3,5,5,5,5,6,4,3,1,3,1,1,"W2",4,4,"4,5",5,5,3
17006760,"大学","理系","現在、勤務しています","B社",1397,"店名_767",774580,41944,"6カ月以上",60,5,51,4,56,5,4,3,3,3,3,4,3,3,3,3,2,3,3,3,3,2,3,3,4,2,1,1,"Y2",4,3,3,3,"3,5","3,3"
17006763,"大学","文系","勤務経験なし",,,,,,,50,4,50,4,50,4,5,5,5,2,2,5,4,5,5,5,4,5,4,3,5,2,5,3,1,3,1,1,"W2",5,5,5,5,"4,5","3,5"
17006772,"大学","文系","勤務経験なし",,,,,,,62,6,55,5,"59,5",5,5,5,5,5,5,5,4,4,3,5,4,5,5,5,6,6,5,5,5,5,2,1,"X3",5,4,5,"4,5","4,5","4,5"
17006795,"大学","文系","現在、勤務しています","A社",595,"店名_910",850752,42278,"6カ月未満",54,5,47,4,"50,5",4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,1,1,"W4",4,"3,5","3,5",3,3,"3,3"
17006807,"大学","文系","勤務経験なし",,,,,,,68,6,57,5,64,6,3,3,4,3,3,3,2,3,3,3,3,3,4,5,4,6,3,4,3,4,1,1,"X3",3,"3,5",3,3,"2,5",3
17006809,"大学","文系","勤務経験なし",,,,,,,53,4,65,6,60,5,4,5,5,2,3,5,5,5,4,4,3,5,5,3,5,2,4,3,3,1,1,1,"W1",4,"4,5","4,5",5,5,"3,3"
17006812,"大学","文系","現在、勤務しています","B社",1505,"店名_911",686783,41579,"6カ月以上",46,4,45,3,45,3,5,5,5,3,2,4,4,5,5,5,3,5,4,3,6,6,5,5,2,3,1,1,"X1",5,5,5,5,4,"3,8"
17006821,"大学","文系","勤務経験なし",,,,,,,53,4,65,6,60,5,3,3,3,3,4,4,3,4,4,3,5,3,3,3,3,2,1,3,3,3,1,1,"Z1",3,"3,5",3,"3,5","3,5","3,5"
17006826,"大学","文系","勤務経験なし",,,,,,,57,5,52,4,55,5,3,4,4,3,2,5,5,5,5,5,3,4,4,3,5,3,4,3,2,2,1,1,"W2",3,"4,5","4,5","4,5",5,"3,3"
17006842,"大学","文系","現在、勤務しています","B社",577,"店名_912",672854,41548,"6カ月以上",58,5,52,4,"55,5",5,3,2,3,2,2,2,3,3,3,3,3,3,3,3,2,3,2,2,2,3,1,1,"Z1",3,3,"2,5",3,"2,5","2,5"
17006846,"大学院（修士）","文系","現在、勤務しています","B社",1424,"店名_254",885892,42005,"6カ月未満",51,4,75,7,"64,5",6,3,3,4,3,4,3,3,3,5,4,3,3,5,5,5,5,3,3,4,3,1,1,"Y2",3,"4,5","3,5",3,3,"3,8"
17006855,"大学","文系","勤務経験なし",,,,,,,65,6,65,6,67,6,5,5,5,3,2,4,3,3,3,4,3,5,5,5,5,6,5,4,2,4,1,1,"W2",5,4,"4,5",4,"3,5","3,3"
17006862,"大学","文系","勤務経験なし",,,,,,,76,7,80,7,80,7,5,5,5,4,4,3,3,4,5,5,5,5,5,5,6,6,4,5,4,5,1,1,"Z1",5,5,5,"4,5",3,"4,5"
17006865,"大学","文系","勤務経験なし",,,,,,,80,7,71,7,"78,5",7,3,4,5,3,3,3,3,3,4,3,3,5,5,5,6,6,4,4,2,3,1,1,"X1",3,"4,5","3,5",4,3,"3,3"
17006869,"大学","文系","勤務経験なし",,,,,,,73,7,51,4,"63,5",6,1,2,4,1,2,4,4,3,5,3,3,5,5,5,6,5,4,4,2,3,1,1,"X1",1,"4,5","2,5",4,4,"2,3"
17006870,"大学院（修士）","理系","勤務経験なし",,,,,,,57,5,56,5,"57,5",5,4,4,4,3,4,5,5,4,4,3,4,4,4,5,4,6,3,3,5,5,1,1,"Y4",4,4,"3,5",4,5,"3,8"
17006877,"大学","文系","勤務経験なし",,,,,,,46,4,53,4,"49,5",4,3,4,4,3,3,5,5,5,4,5,3,4,3,2,5,1,4,3,3,3,1,1,"W4",3,4,"4,5","4,5",5,"3,3"
17006886,"大学","文系","勤務経験なし",,,,,,,57,5,62,6,"60,5",5,3,3,3,2,2,3,3,3,3,3,3,4,5,4,5,3,3,3,2,3,1,1,"X3",3,3,3,"3,5",3,"2,5"
17006887,"大学","文系","現在、勤務しています","B社",887,"店名_718",630334,41365,"6カ月以上",65,6,41,3,"53,5",4,4,5,5,3,4,3,3,3,4,4,3,4,4,4,5,5,4,3,3,3,1,1,"W4",4,"4,5","4,5","3,5",3,"3,8"
17006888,"大学","文系","勤務経験なし",,,,,,,54,5,51,4,53,4,5,5,5,1,1,5,5,5,5,5,3,5,5,4,6,5,5,5,1,2,1,1,"X1",5,5,5,5,5,3
17006892,"大学","理系","勤務経験なし",,,,,,,80,7,73,7,80,7,3,3,4,3,3,3,3,3,3,3,3,3,4,5,3,6,3,4,2,3,1,1,"X3",3,"3,5",3,3,3,3
17006904,"大学","理系","勤務経験なし",,,,,,,57,5,61,5,60,5,1,1,1,3,3,1,1,1,3,1,2,4,5,5,6,5,1,3,3,2,1,1,"Z1",1,2,1,"2,5",1,"2,5"
17006913,"大学","文系","現在、勤務しています","A社",623,"店名_913",806947,41579,"6カ月以上",49,4,46,4,47,4,4,4,4,3,4,5,5,5,4,4,3,5,4,3,6,5,4,4,3,3,1,1,"W4",4,4,4,5,5,"3,8"
17006918,"大学","文系","勤務経験なし",,,,,,,55,5,64,6,"60,5",5,3,3,3,3,3,3,3,3,4,3,2,3,4,5,4,5,3,4,3,3,1,1,"X3",3,"3,5",3,3,3,"3,3"
17006927,"大学","文系","勤務経験なし",,,,,,,44,3,52,4,48,4,3,3,3,3,2,3,4,5,3,4,3,2,2,3,1,4,2,2,2,3,1,1,"Z1",3,3,"3,5","3,5","3,5","2,8"
17006934,"大学","理系","勤務経験なし",,,,,,,68,6,61,5,"66,5",6,3,4,4,3,4,3,2,3,4,4,3,3,5,4,5,3,3,3,5,3,1,1,"Y2",3,4,4,3,"2,5","3,5"
17006952,"大学","文系","現在、勤務しています","B社",1393,"店名_914",633009,41365,"6カ月以上",55,5,70,7,64,6,5,5,5,2,2,5,5,5,5,5,3,5,5,5,6,6,5,5,1,2,1,1,"X1",5,5,5,5,5,"3,5"
17006955,"大学","理系","現在、勤務しています","B社",1528,"店名_915",658601,41487,"6カ月以上",34,2,52,4,42,3,5,5,5,5,4,4,3,5,3,5,3,5,3,2,6,4,5,4,5,2,1,1,"W3",5,4,5,5,"3,5","4,3"
17006956,"大学","文系","現在、勤務しています","B社",219,"店名_916",705390,41699,"6カ月以上",52,4,50,4,51,4,4,4,4,3,4,4,4,4,3,3,2,3,3,3,3,3,3,3,4,2,1,1,"Y2",4,"3,5","3,5","3,5",4,"3,5"
17006980,"大学","理系","勤務経験なし",,,,,,,74,7,68,6,"73,5",7,4,5,4,2,2,4,3,4,4,4,3,5,5,4,5,3,4,3,3,2,1,1,"W4",4,4,"4,5","4,5","3,5",3
17006981,"大学","文系","勤務経験なし",,,,,,,60,5,69,6,"66,5",6,3,4,4,3,3,4,4,4,4,4,4,5,5,5,6,5,4,4,4,4,1,1,"Z1",3,4,4,"4,5",4,"3,3"
17006985,"大学","文系","勤務経験なし",,,,,,,80,7,74,7,80,7,5,5,5,3,2,5,5,5,4,5,3,4,5,5,5,5,5,5,2,3,1,1,"X1",5,"4,5",5,"4,5",5,"3,5"
17006991,"大学","文系","現在、勤務しています","B社",1460,"店名_917",635237,41365,"6カ月以上",65,6,74,7,72,7,4,5,5,3,2,5,3,4,5,5,3,3,5,5,5,4,5,5,2,3,1,1,"X1",4,5,5,"3,5",4,"3,5"
17006996,"大学","文系","勤務経験なし",,,,,,,80,7,73,7,80,7,3,3,5,3,3,1,1,1,4,3,4,3,5,5,5,6,2,4,3,5,1,1,"Z2",3,"4,5",3,2,1,"3,3"
17006999,"大学","文系","勤務経験なし",,,,,,,48,4,51,4,"49,5",4,4,4,4,2,2,4,4,4,4,5,2,4,3,2,4,2,4,2,2,3,1,1,"W4",4,4,"4,5",4,4,3
17007000,"大学","文系","勤務経験なし",,,,,,,58,5,40,3,49,4,5,5,5,3,4,5,4,5,5,5,3,5,4,3,6,5,5,5,3,3,1,1,"X1",5,5,5,5,"4,5","4,3"
17007016,"大学","文系","勤務経験なし",,,,,,,54,5,53,4,54,5,2,2,3,3,2,2,1,1,3,2,3,3,3,3,4,3,2,3,2,3,1,1,"X3",2,3,2,2,"1,5","2,5"
17007023,"大学","文系","現在、勤務しています","B社",1127,"店名_918",627594,41334,"6カ月以上",68,6,59,5,65,6,5,5,5,3,2,5,5,5,5,5,3,5,5,5,6,5,5,4,3,3,1,1,"W2",5,5,5,5,5,"3,8"
17007036,"大学","文系","勤務経験なし",,,,,,,71,7,60,5,"67,5",6,2,3,4,1,2,1,1,1,5,4,5,4,5,5,5,6,2,5,1,5,1,1,"X4",2,"4,5","3,5","2,5",1,"2,5"
17007041,"大学","文系","勤務経験なし",,,,,,,55,5,51,4,"53,5",4,3,3,4,3,2,2,2,2,4,4,5,3,4,4,5,5,3,4,2,4,1,1,"X4",3,4,"3,5","2,5",2,3
17007045,"大学","理系","勤務経験なし",,,,,,,63,6,75,7,"71,5",7,4,3,3,3,2,3,3,3,3,3,3,3,4,5,3,4,3,3,3,3,1,1,"X3",4,3,3,3,3,3
17007057,"大学","文系","勤務経験なし",,,,,,,62,6,48,4,"55,5",5,3,2,3,3,3,3,2,1,3,3,4,3,5,3,6,4,3,3,3,4,1,1,"Z1",3,3,"2,5",2,"2,5",3
17007059,"大学","文系","勤務経験なし",,,,,,,45,3,48,4,46,4,3,4,3,3,3,5,4,4,3,4,4,5,3,3,5,3,4,3,3,3,1,1,"W4",3,3,4,"4,5","4,5",3
17007084,"大学","文系","勤務経験なし",,,,,,,47,4,56,5,"51,5",4,4,3,3,4,4,5,5,5,3,3,3,3,3,3,4,4,3,3,4,2,1,1,"Y2",4,3,3,4,5,"3,8"
17007100,"大学","文系","勤務経験なし",,,,,,,59,5,60,5,"60,5",5,4,4,4,3,3,4,4,5,3,4,2,3,3,4,3,4,4,3,3,3,1,1,"W4",4,"3,5",4,4,4,"3,3"
17007109,"大学","文系","現在、勤務しています","A社",553,"店名_617",835083,42217,"6カ月未満",55,5,46,4,"50,5",4,5,5,5,3,2,5,5,5,4,5,2,5,4,3,5,4,5,4,2,2,1,1,"W2",5,"4,5",5,5,5,"3,5"
17007126,"大学","文系","勤務経験なし",,,,,,,51,4,53,4,"52,5",4,4,3,3,3,4,4,3,3,3,3,2,3,3,3,4,2,4,2,3,2,1,1,"W3",4,3,3,3,"3,5","3,5"
17007139,"大学","文系","勤務経験なし",,,,,,,60,5,43,3,"51,5",4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,1,3,1,4,2,1,1,"Y1",3,3,3,3,3,3
